ARIS,15.32
ARKO,5.77
ARKOW,0.4077
ARKR,13.24
ARL,13.91
ARLO,12.7
ARLP,24.8
ARM,155.29
ARMK,33.06
ARMN,3.751
ARMP,2.56
AROC,20.23
AROW,25.86
ARQ,5.4
ARQQ,0.3
ARQQW,0.104
ARQT,8.93
ARR,19.2657
ARRY,9.34
ARTL,1.3
ARTLW,0.0056
ARTNA,34.96
ARTW,1.5
ARVN,24.62
ARW,118.41
ARWR,24.9
ARYD,11.47
AS,12.21
ASA,17.7
ASAI,8.635
ASAN,13.36
ASB,20.75
ASBA,22.4
ASC,22.06
ASCB,11.18
ASCBW,0.0103
ASG,5.315
ASGI,18.3
ASGN,86.89
ASH,91.09
ASIX,21.83
ASLE,6.47
ASLN,0.2764
ASM,0.875
ASMB,13.095
ASML,1025.86
ASND,133.82
ASNS,1.73
ASO,50.1
ASPI,3.05
ASPN,23.447
ASPS,1.27
ASR,291.41
ASRT,1.11
ASRV,2.28
ASST,1.5
ASTC,8.87
ASTE,28.83
ASTH,39.745
ASTI,0.0901
ASTL,6.825
ASTLW,0.8
ASTR,0.5037
ASTS,10.17
ASTSW,3.31
ASUR,8.04
ASX,10.9
ASXC,0.3277
ASYS,5.9901
ATAI,1.29
ATAT,18.6
ATCH,
ATCOL,24.75
ATEC,9.835
ATEK,11.33
ATEN,13.525
ATER,2.45
ATEX,38.67
ATGE,67.23
ATGL,2.41
ATHA,2.47
ATHE,1.77
ATHM,26.65
ATHS,
ATI,53.9
ATIF,0.78
ATIP,4.52
ATKR,130.615
ATLC,28.73
ATLCL,22.26
ATLCP,22.9747
ATLCZ,24.63
ATLO,20.085
ATLX,10.75
ATMC,11.07
ATMU,27.75
ATMV,11.04
ATMVR,
ATMVU,11.1
ATNF,1.4814
ATNFW,0.0095
ATNI,22.755
ATNM,6.9
ATO,115.61
ATOM,3.665
ATOS,1.15
ATPC,0.1903
ATR,137.76
ATRA,7.3101
ATRC,21.96
ATRI,451.335
ATRO,19.72
ATS,32.04
ATSG,13.735
ATUS,1.9
ATXG,0.8001
ATXI,3.34
ATXS,8.93
AU,24.98
AUB,32.63
AUBN,17.5
AUDC,10.165
AUGX,0.911
AUID,8.68
AULT,0.2712
AUMN,0.41
AUNA,7.805
AUPH,5.42
AUR,2.8
AURA,7.15
AUROW,0.1975
AUST,1.0301
AUTL,3.31
AUUD,0.98
AUUDW,0.0458
AUVI,0.2877
AUVIP,0.5004
AVA,33.91
AVAH,2.465
AVAL,2.16
AVAV,168.3
AVB,203.4001
AVBP,17.775
AVD,8.17
AVDL,13.78
AVDX,12.05
AVGO,1622
AVGR,1.71
AVIR,3.22
AVK,11.86
AVNS,19.47
AVNT,41.92
AVNW,27.5501
AVO,9.83
AVPT,10.265
AVPTW,1.64
AVRO,1.38
AVT,50.54
AVTE,1.615
AVTR,20.49
AVTX,12.09
AVXL,4.07
AVY,211.87
AWF,10.51
AWH,0.9504
AWI,110.9
AWIN,0.44
AWINW,
AWK,127.8001
AWP,3.76
AWR,72.49
AWRE,1.92
AWX,2.0673
AX,57.39
AXDX,1.13
AXGN,7.18
AXIL,7.3
AXL,6.88
