168,HOOD,"Robinhood Markets, Inc.",15.73B,17.88,-11.66%,2.04B
169,DKNG,DraftKings Inc.,15.52B,32.02,-9.78%,4.07B
170,GEN,Gen Digital Inc.,15.48B,25.16,-0.32%,3.81B
171,ENTG,"Entegris, Inc.",15.42B,102.14,-7.04%,3.28B
172,NBIX,"Neurocrine Biosciences, Inc.",15.41B,153.14,-0.01%,1.98B
173,MANH,"Manhattan Associates, Inc.",14.94B,243.93,-2.68%,996.57M
174,LPLA,LPL Financial Holdings Inc.,14.81B,198.05,-7.77%,10.93B
175,EXPE,"Expedia Group, Inc.",14.66B,115.49,-4.93%,13.06B
176,LNT,Alliant Energy Corporation,14.64B,57.11,0.88%,3.98B
177,WMG,Warner Music Group Corp.,14.64B,28.26,-2.65%,6.39B
178,UTHR,United Therapeutics Corporation,14.58B,327.68,-0.03%,2.50B
179,RIVN,"Rivian Automotive, Inc.",14.54B,14.72,-3.41%,4.98B
180,AKAM,"Akamai Technologies, Inc.",14.40B,94.56,-0.92%,3.88B
181,NWSA,News Corporation,14.27B,26.3,-3.20%,9.94B
182,NWS,News Corporation,14.25B,27.14,-3.04%,9.94B
183,ENPH,"Enphase Energy, Inc.",14.25B,105.19,-4.09%,1.42B
184,VTRS,Viatris Inc.,14.13B,11.87,-0.75%,15.36B
185,OKTA,"Okta, Inc.",13.95B,86.69,-5.13%,2.36B
186,EVRG,"Evergy, Inc.",13.83B,60.16,0.69%,5.54B
187,NDSN,Nordson Corporation,13.82B,241.38,-0.81%,2.65B
188,BSY,"Bentley Systems, Incorporated",13.81B,46.02,-3.32%,1.25B
189,CASY,"Casey's General Stores, Inc.",13.80B,371.93,-2.92%,14.86B
190,PODD,Insulet Corporation,13.76B,196.45,-0.41%,1.78B
191,SRPT,"Sarepta Therapeutics, Inc.",13.61B,143.94,-0.05%,1.40B
192,GLPI,"Gaming and Leisure Properties, Inc.",13.58B,49.49,0.75%,1.49B
193,POOL,Pool Corporation,13.52B,353.39,-3.33%,5.37B
194,LOGI,Logitech International S.A.,13.39B,87.51,-0.22%,4.41B
195,MORN,"Morningstar, Inc.",13.39B,312.51,-0.51%,2.17B
196,UAL,"United Airlines Holdings, Inc.",13.22B,40.19,-5.17%,55.64B
197,REG,Regency Centers Corporation,12.99B,70.29,2.52%,1.37B
198,RPRX,Royalty Pharma plc,12.90B,28.53,0.14%,2.24B
199,MBLY,Mobileye Global Inc.,12.87B,15.96,-1.97%,1.86B
200,ARCC,Ares Capital Corporation,12.79B,20.29,-2.59%,2.82B
201,TECH,Bio-Techne Corporation,12.63B,80.17,-2.65%,1.15B
202,GRAB,Grab Holdings Limited,12.44B,3.24,-,2.49B
203,TRMB,Trimble Inc.,12.42B,50.86,-3.14%,3.80B
204,INCY,Incyte Corporation,12.42B,64.47,0.08%,3.86B
205,JKHY,"Jack Henry & Associates, Inc.",12.41B,170.21,0.67%,2.19B
206,TTEK,"Tetra Tech, Inc.",12.30B,230,-1.07%,4.95B
207,IBKR,"Interactive Brokers Group, Inc.",12.25B,112.53,-5.44%,4.49B
208,NTRA,"Natera, Inc.",12.23B,99.62,-3.28%,1.21B
209,PAA,"Plains All American Pipeline, L.P.",12.21B,17.42,-3.22%,48.37B
210,SIRI,Sirius XM Holdings Inc.,12.00B,3.12,-3.41%,8.97B
211,COKE,"Coca-Cola Consolidated, Inc.",11.94B,"1,274.29",2.65%,6.73B
212,LAMR,Lamar Advertising Company,11.82B,115.56,-2.89%,2.14B
213,MEDP,"Medpace Holdings, Inc.",11.69B,377,-2.12%,2.03B
214,NTNX,"Nutanix, Inc.",11.65B,47.23,-3.61%,2.10B
215,INSM,Insmed Incorporated,11.58B,71.81,-4.67%,315.49M
216,CHRW,"C.H. Robinson Worldwide, Inc.",11.55B,98.63,-3.50%,17.40B
217,AZPN,"Aspen Technology, Inc.",11.52B,181.93,-0.04%,1.11B
218,HST,"Host Hotels & Resorts, Inc.",11.42B,16.2,-3.28%,5.40B
219,FLEX,Flex Ltd.,11.35B,28.59,-6.78%,25.39B
220,FFIV,"F5, Inc.",11.25B,191.99,-1.79%,2.78B
221,LECO,"Lincoln Electric Holdings, Inc.",11.10B,195.84,-1.48%,4.09B
222,TXRH,"Texas Roadhouse, Inc.",11.10B,166.13,-4.04%,4.78B
223,EWBC,"East West Bancorp, Inc.",11.06B,79.49,-3.79%,2.46B
224,NICE,NICE Ltd.,10.90B,171.76,-2.81%,2.46B
225,CYBR,CyberArk Software Ltd.,10.66B,247.04,-3.16%,811.73M
226,WING,Wingstop Inc.,10.65B,362.7,-2.41%,497.12M
227,APA,APA Corporation,10.61B,28.59,-8.01%,8.07B
228,DOCU,"DocuSign, Inc.",10.59B,51.73,-3.51%,2.81B
229,EXAS,Exact Sciences Corporation,10.58B,57.35,-0.97%,2.53B
230,LKQ,LKQ Corporation,10.57B,40.14,-0.07%,14.48B
231,Z,"Zillow Group, Inc. Class C",10.43B,44.36,-2.63%,2.01B
232,ZG,"Zillow Group, Inc. Class A",10.40B,43.14,-2.79%,2.01B
233,CHRD,Chord Energy Corporation,10.36B,155.87,-6.43%,4.09B
234,QRVO,"Qorvo, Inc.",10.24B,107.93,-2.46%,4.01B
235,FTAI,FTAI Aviation Ltd.,10.22B,102.65,-5.76%,1.20B
236,SAIA,"Saia, Inc.",10.19B,383.24,-2.98%,3.10B
237,MNDY,monday.com Ltd.,10.14B,203.61,-6.21%,784.35M
238,BRKR,Bruker Corporation,9.97B,65.88,-3.59%,3.00B
239,LEGN,Legend Biotech Corporation,9.97B,54.68,-0.58%,342.80M
240,CELH,"Celsius Holdings, Inc.",9.95B,42.71,-4.67%,1.41B
241,CHDN,Churchill Downs Incorporated,9.94B,135.36,-3.29%,2.62B
